length,depth,tautology,CPU time (sec),peak memory (bytes)
3,1,True,0.015625,13816
3,1,True,0.0,5639
3,1,False,0.0,4603
3,1,False,0.015625,2922
4,1,False,0.03125,3830
4,1,False,0.0,3983
4,1,False,0.046875,6046
4,1,False,0.046875,7522
4,2,True,0.015625,5941
4,1,True,0.0,2474
4,1,False,0.0,2729
4,2,False,0.015625,7209
4,2,False,0.03125,3093
4,2,True,0.015625,6267
4,1,False,0.03125,4131
4,2,False,0.015625,4545
4,2,True,0.0,4263
4,2,True,0.03125,13214
4,1,False,0.015625,2221
4,2,False,0.0,10395
4,2,True,0.015625,6092
4,2,True,0.015625,4325
4,2,False,0.0,7480
4,2,False,0.015625,4772
4,2,False,0.0,7720
4,2,False,0.015625,3537
4,2,False,0.015625,6621
4,2,False,0.015625,2631
4,2,False,0.015625,3476
4,1,False,0.015625,2615
4,2,False,0.015625,6715
5,2,False,0.015625,6722
5,2,True,0.015625,7462
5,2,False,0.015625,7875
5,2,False,0.0,4450
5,3,False,0.015625,13085
5,2,True,0.0,3390
5,2,True,0.0,2759
5,2,False,0.015625,5670
5,2,False,0.0,3489
5,2,False,0.0,4762
5,1,False,0.015625,6483
5,2,False,0.0,11894
5,2,False,0.015625,6074
5,2,True,0.0,2759
5,2,False,0.0,5291
5,3,False,0.046875,15633
5,4,False,0.21875,73776
5,2,False,0.0625,16343
5,1,False,0.015625,3323
5,2,False,0.03125,11284
5,2,True,0.015625,3638
5,3,False,0.0625,32901
5,2,False,0.015625,16240
5,3,False,0.015625,13767
5,1,False,0.0,5539
5,2,False,0.0,7852
5,2,False,0.015625,11607
5,2,False,0.015625,17344
5,2,False,0.015625,5351
5,2,False,0.015625,11070
5,2,False,0.015625,9524
5,2,False,0.0,6850
5,2,False,0.015625,4629
5,2,False,0.0,4782
5,3,False,0.015625,7063
5,2,True,0.015625,3083
5,3,False,0.0,9329
5,2,False,0.015625,10817
5,1,False,0.015625,5075
5,4,False,0.3125,74836
5,1,False,0.0,5407
5,2,False,0.0,5717
5,3,False,0.046875,11137
5,2,False,0.015625,9278
5,2,False,0.015625,8363
5,3,False,0.0,5729
5,2,False,0.015625,7141
5,2,False,0.0,5679
5,2,False,0.015625,10182
5,2,False,0.03125,7941
5,2,False,0.015625,8606
5,2,False,0.0,3994
5,2,False,0.015625,4493
5,3,False,0.015625,7233
5,2,False,0.015625,5555
5,2,False,0.015625,3657
5,2,False,0.0,3908
5,2,False,0.0,4778
5,2,False,0.0,4036
5,2,False,0.015625,9895
5,4,False,0.140625,85128
5,1,False,0.015625,3684
5,2,False,0.015625,7503
5,3,False,0.015625,11061
5,1,False,0.0,6366
5,2,False,0.015625,7351
5,1,False,0.0,3907
5,1,True,0.0,2807
5,2,False,0.03125,6869
5,2,False,0.0,5519
5,2,False,0.0,2955
5,2,False,0.0,8554
5,2,False,0.015625,4611
5,2,False,0.0,5035
5,2,False,0.015625,3399
5,2,False,0.0,4739
5,1,False,0.015625,5135
5,2,False,0.015625,6577
5,2,False,0.0,3295
5,2,False,0.0,7351
5,2,True,0.015625,3379
5,2,False,0.015625,6157
5,2,False,0.015625,7978
5,1,False,0.0,5187
5,1,False,0.015625,2285
5,2,False,0.015625,12177
5,2,False,0.0,7529
5,2,False,0.015625,3946
5,2,False,0.0,5357
5,2,False,0.015625,6453
5,2,False,0.0,15763
5,2,False,0.015625,8223
5,2,True,0.03125,5838
5,2,False,0.0,5482
5,3,False,0.015625,7113
5,2,False,0.0,7773
5,3,False,0.0,4026
5,2,False,0.03125,2751
5,2,False,0.0,4907
5,2,False,0.03125,6205
5,3,False,0.0,3971
5,1,False,0.0,3539
5,2,False,0.0,5482
5,2,False,0.03125,15147
5,3,False,0.109375,29519
5,2,False,0.0,4431
5,2,False,0.03125,10014
5,2,True,0.0,7830
5,2,False,0.015625,9734
5,3,False,0.0,3558
5,3,False,0.0,10955
5,1,False,0.0,3539
5,2,False,0.015625,6699
5,2,False,0.015625,7661
5,2,False,0.0,3399
5,2,False,0.0,4782
5,2,False,0.0,9446
5,2,False,0.015625,4021
5,2,False,0.015625,4571
5,2,False,0.0,4134
5,1,False,0.015625,6122
5,2,True,0.03125,7966
5,2,False,0.015625,12177
5,2,True,0.0,3510
5,1,True,0.0,6102
5,3,False,0.0625,16201
5,2,False,0.015625,8916
5,2,False,0.015625,7105
5,2,False,0.046875,16424
5,2,True,0.0,6165
5,3,False,0.015625,21249
5,2,True,0.015625,6357
5,2,False,0.015625,5863
5,2,True,0.0,3390
5,3,False,0.140625,53133
5,2,False,0.015625,8660
5,2,True,0.015625,2759
5,2,False,0.0,6745
5,2,False,0.0,5705
5,3,True,0.0,19106
5,2,False,0.0,3381
5,2,False,0.03125,8020
5,2,False,0.015625,12297
5,2,False,0.0,3946
5,3,False,0.0,4051
5,2,False,0.015625,10345
5,2,False,0.0,4950
5,2,False,0.015625,5847
5,3,False,0.0,11061
5,2,True,0.0,6701
5,1,False,0.015625,5299
5,2,True,0.015625,4568
5,2,False,0.0,7585
6,2,False,0.0,12805
6,2,False,0.015625,18099
6,2,False,0.0,3670
6,2,False,0.015625,5703
6,3,False,0.015625,14489
6,2,False,0.015625,6459
6,2,False,0.0,5531
6,3,False,0.0625,28021
6,2,True,0.015625,13726
6,2,False,0.0,3499
6,3,False,0.0625,15965
6,2,True,0.03125,6275
6,2,False,0.046875,17541
6,4,False,1.0625,198522
6,2,True,0.015625,7515
6,2,False,0.015625,6117
6,2,False,0.0625,12731
6,3,False,0.0625,18029
6,2,False,0.015625,6598
6,2,False,0.015625,11492
6,2,False,0.015625,3423
6,2,False,0.015625,6669
6,2,False,0.0,11714
6,3,False,0.015625,8791
6,3,False,0.046875,15205
6,3,False,0.03125,7685
6,2,True,0.03125,6313
6,4,False,0.328125,57016
6,2,False,0.015625,5002
6,2,False,0.015625,9447
6,2,False,0.09375,15166
6,3,False,0.015625,12056
6,2,False,0.015625,11077
6,2,False,0.0,7000
6,2,False,0.0,6882
6,2,False,0.0,6329
6,3,False,0.015625,11571
6,2,False,0.03125,4205
6,2,False,0.03125,7322
6,2,False,0.0,4205
6,2,False,0.03125,5929
6,2,False,0.015625,5006
6,1,False,0.015625,3995
6,2,False,0.015625,5491
6,2,False,0.0,4504
6,2,True,0.0,3191
6,3,False,0.046875,17062
6,2,True,0.03125,12103
6,3,False,0.015625,6313
6,2,False,0.0,12024
6,3,False,0.046875,11411
6,3,False,0.015625,6885
6,3,False,0.015625,4026
6,2,True,0.015625,6743
6,2,False,0.0,3965
6,2,True,0.03125,8425
6,3,False,0.0625,15699
6,3,False,0.0625,28567
6,3,False,0.03125,9311
6,2,False,0.03125,5827
6,3,False,0.015625,8959
6,2,False,0.015625,6847
6,2,False,0.015625,8649
6,2,False,0.015625,7397
6,3,False,0.0625,19887
6,2,False,0.015625,7383
6,2,False,0.015625,10034
6,2,True,0.015625,4885
6,3,False,0.359375,63263
6,2,False,0.015625,5350
6,2,False,0.03125,7415
6,3,False,0.03125,12408
6,3,False,0.078125,16589
6,2,False,0.015625,5338
6,3,False,0.03125,19702
6,3,True,0.015625,3213
6,3,False,0.125,53646
6,4,False,0.140625,26435
6,3,False,0.03125,8359
6,2,False,0.0,8125
6,4,False,0.984375,97792
6,3,False,0.03125,9303
6,2,False,0.015625,4535
6,4,False,0.0625,17869
6,2,False,0.0,3769
6,3,False,0.03125,4337
6,2,False,0.0,9978
6,2,False,0.0,4580
6,2,False,0.015625,12233
6,3,False,0.015625,6989
6,2,False,0.0,6814
6,2,False,0.015625,4887
6,2,True,0.03125,3446
6,3,False,0.03125,5924
6,2,False,0.015625,8585
6,2,False,0.015625,4756
6,4,False,0.015625,22863
6,2,False,0.015625,13716
6,4,False,0.0,4665
6,3,False,0.171875,40888
6,2,False,0.015625,5919
6,3,False,0.046875,18765
6,2,False,0.0,7487
6,4,False,0.015625,8129
6,2,False,0.015625,3946
6,2,True,0.015625,3968
6,2,False,0.015625,6534
6,3,False,0.0625,28863
6,1,False,0.0,6154
6,2,False,0.015625,3443
6,4,False,2.125,177936
6,3,False,0.1875,56545
6,3,False,0.0,6751
6,2,True,0.0,5418
6,2,False,0.0,5234
6,2,False,0.015625,3545
6,2,False,0.015625,8393
6,1,False,0.0,3995
6,3,False,0.03125,18757
6,3,False,0.0,7373
6,2,False,0.03125,7887
6,2,False,0.0,6157
6,4,False,0.234375,49274
6,2,False,0.015625,5289
6,3,False,0.078125,47401
6,3,False,0.015625,12756
6,2,False,0.015625,9164
6,2,False,0.0,6255
6,2,False,0.015625,7345
6,3,False,0.09375,35559
6,2,False,0.0625,15559
6,2,True,0.015625,3487
6,2,True,0.0,5031
6,3,False,0.0,4051
6,3,False,0.015625,15435
6,2,False,0.0,9591
6,3,False,0.0,4051
6,3,False,0.03125,17069
6,3,True,0.0,3564
6,3,False,0.0,3891
6,2,False,0.015625,3456
6,4,False,0.09375,18723
6,2,True,0.0,3511
6,3,False,0.015625,10013
6,2,False,0.0,8204
6,2,False,0.015625,6602
6,2,True,0.0,3223
6,4,False,0.625,75484
6,3,False,0.046875,19673
6,2,False,0.015625,7171
6,2,False,0.015625,10505
6,2,False,0.015625,9286
6,2,False,0.015625,9746
6,3,False,0.046875,19332
6,5,False,0.015625,12549
6,4,False,0.0625,19565
6,3,False,0.0625,16101
6,3,False,0.015625,6832
6,3,False,0.03125,16897
6,3,False,0.03125,8072
6,3,False,0.015625,5631
6,2,True,0.0,3928
6,3,False,0.015625,7996
6,2,False,0.015625,6573
6,2,False,0.03125,5850
6,4,False,0.109375,36059
6,1,False,0.015625,2811
6,3,False,0.03125,18381
6,2,True,0.0,6221
6,2,False,0.015625,5110
6,4,False,0.4375,177050
6,2,False,0.03125,6663
6,3,False,0.0,9375
6,3,False,0.015625,4026
6,2,False,0.0,11309
6,3,False,0.015625,5679
6,3,False,0.015625,18437
6,3,False,0.0625,25999
6,2,False,0.0,4005
6,2,False,0.0,8009
7,2,False,0.0,16625
7,3,False,0.015625,24528
7,2,False,0.015625,6577
7,3,False,0.0,6865
7,3,False,0.0,18397
7,2,True,0.0,4991
7,2,False,0.015625,10224
7,3,False,0.0,12615
7,5,False,0.90625,156863
7,3,False,0.03125,5835
7,4,False,0.03125,4760
7,3,False,0.046875,13374
7,2,False,0.03125,7925
7,3,True,0.046875,8217
7,4,False,0.203125,46179
7,3,True,0.0,14892
7,2,False,0.015625,7550
7,3,False,0.015625,5148
7,2,False,0.015625,8657
7,2,False,0.015625,5909
7,1,False,0.015625,4621
7,3,False,0.03125,15749
7,3,False,0.015625,14794
7,2,False,0.015625,9558
7,3,False,0.0,7342
7,3,False,0.015625,9677
7,4,False,0.921875,197870
7,3,False,0.03125,9884
7,2,False,0.015625,8096
7,2,False,0.0,5323
7,3,False,0.03125,8451
7,4,False,0.046875,18379
7,4,False,0.125,80729
7,2,False,0.015625,9429
7,2,False,0.015625,4630
7,3,True,0.0,3692
7,3,False,0.03125,9959
7,2,False,0.015625,10885
7,4,False,0.671875,125428
7,3,False,0.015625,16279
7,3,False,0.03125,13741
7,3,False,0.03125,20213
7,2,False,0.03125,11518
7,4,False,0.015625,5198
7,2,False,0.015625,6490
7,4,False,0.390625,74726
7,4,False,0.046875,27070
7,2,False,0.015625,4387
7,2,False,0.015625,5994
7,3,True,0.015625,6845
7,2,False,0.03125,7040
7,3,False,0.3125,58102
7,3,False,0.015625,4417
7,3,False,0.03125,13813
7,2,False,0.0,6354
7,2,False,0.015625,11243
7,2,False,0.015625,7925
7,3,False,0.015625,5694
7,3,True,0.0,4244
7,3,False,0.015625,24397
7,2,False,0.015625,6784
7,2,False,0.03125,10426
7,2,False,0.015625,10189
7,2,True,0.03125,26524
7,1,True,0.0,3971
7,3,False,0.046875,17066
7,3,True,0.015625,6273
7,3,False,0.015625,16198
7,3,True,0.0,6695
7,4,False,0.046875,26510
7,3,False,0.015625,4645
7,3,False,0.015625,7243
7,3,False,0.0,5462
7,2,False,0.03125,6835
7,3,False,0.046875,21901
7,3,False,0.03125,16769
